
"INSTRMNT_TYPE","ISIN","SHRT_NAME","REINVESTMENT_OPTION","DIVIDEND_PERIODICITY"
"Collective Investment","LU0054754816","FIDELITY INV SVS SWITZERLAND A CHF","Distribution","Year"
"Collective Investment","IE00BKT6SD79","RUSSELL INV GLOBAL CREDIT FUND GBPH CLASS - A INC","Distribution","Quarter"
"Collective Investment","IE00BJGTLV15","PGIM WADHWANI KEYNES SYSTEMATIC ABSOLUTE RETURN I INC","Distribution","Year"
"Collective Investment","LU1317403522","EMIRATES NBD SICAV GLOBAL SUKUK C EUR INC","Distribution","Quarter"
"Collective Investment","IE0000829451","BARING AUSTRALIA FUND A CL","Distribution","Year"
"Collective Investment","LU0822047337","JPMORGAN AM JAPAN EQUITY C USD INC","Distribution","Year"
"Collective Investment","IE0032571485","ROYAL LONDON STERLING EXTRA YIELD BOND A INC","Distribution","Quarter"
"Collective Investment","GB0033053264","Invesco Perpetual UT Mgmt Ltd Global Smaller Companies Inc","Distribution","Year"
"Collective Investment","GB00B7QNBK82","AEGON  STRATEGIC BOND D INC","Distribution","Quarter"
"Collective Investment","GB00B2QCZV97","IFSL TILNEY BESTINVEST INCOME & GROWTH PORTFOLIO RETAIL INC","Distribution","Bi_Annual"
"Collective Investment","GB0033749408","THREADNEEDLE  EM MKT BD RETL GROS INC NAV","Distribution","Bi_Annual"
"Collective Investment","GB00B03KR617","J O HAMBRO CAPITAL UK EQUITY INCOME INC B DIS GBP","Distribution","Quarter"
"Collective Investment","GB00BFWK8L97","BAILLIE GIFFORD JAPANESE INCOME GROWTH FUND W4  INC","Distribution","Bi_Annual"
"Collective Investment","GB00BLF9V166","MI BREWIN DOLPHIN VOYAGER MAX 70% EQUITY A INC","Distribution","Quarter"
"Collective Investment","IE00B8N0MW85","PIMCO GLOBAL ADVIS INCOME ENE EUR INC NAV","Distribution","Month"
"Collective Investment","GB00B843K114","BNY MELLON FD MNGR INSIGHT EQTY INCOME INC NAV","Distribution","Quarter"
"Collective Investment","LU0242608361","SCHRODER INTL SEL-AS.EQ.YI.(A)AV","Distribution","Year"
"Collective Investment","LU0988471974","BLACKROCK GIS INCOME STRATS PORTFOLIO AD USD","Distribution","Month"
"Collective Investment","GB0033054452","INVESCO-UK STRATEGIC INC UK INC","Distribution","Bi_Annual"
"Collective Investment","GB00B0C4RP31","AEGON ETHICAL CORP BD B INSTL INC","Distribution","Quarter"
"Collective Investment","GG00BYT1FK62","MARLBOROUGH INTERN CAUTIOUS PTG P GBP DIS","Distribution","Bi_Annual"
"Collective Investment","GB00B7YWW378","LAZARD FM GLOBAL EQUITY INCOME C GBP","Distribution","Quarter"
"Collective Investment","LU0121751324","SARASIN FUND MANAG SUSTAINABLE BOND CHF","Distribution","Year"
"Collective Investment","IE0003703273","INVESCO AM IRL SERIES 2 GILT C GBP","Distribution","Quarter"
"Collective Investment","IE00BYQQ0Z40","BLACKROCK FXD INC ISHARES US CORP BD IDX INC","Distribution","Bi_Annual"
"Collective Investment","LU1854107148","M&G LUX POSITIVE IMPACT FUND EURO A INC","Distribution","Year"
"Collective Investment","GB00B8C0X603","QUILTER INVESTORS GENERATION CPI+ 4 PORTFOLIO","Distribution","Quarter"
"Collective Investment","GB00B073JS25","SCHRODER UNIT TST UK ALPHA INCOME Z INC GBP","Distribution","Bi_Annual"
"Collective Investment","LU1914926925","VONTOBEL FUND EMERGING MARKET CORPORATE BOND AQN INC","Distribution","Quarter"
"Collective Investment","SGXZ10242964","SILVERDALE BOND FUND III INC","Distribution","Year"
"Collective Investment","GB0031078560","NINETY ONE FM DIVERSIFIED INCOME A INC 2 GBP","Distribution","Month"
"Collective Investment","LU1997244873","ALLIANZ CHINA A SHARES A EUR INC","Distribution","Year"
"Collective Investment","GB00B0N6YF70","LIONTRUST INV FUNDS SPECIAL SITUATIONS INC","Distribution","Year"
"Collective Investment","IE00B8XYZM14","NEUBERGER BERMN II GLOBAL SNR FTG RT INC I MTH","Distribution","Month"
"Collective Investment","DE0008490962","DWS INVEST GMBH DWS DEUTSCHLAND EUR","Distribution","Year"
"Collective Investment","LU0942195313","JANUS HENDERSON ASIAN DIVIDEND INCOME H3Q INC","Distribution","Year"
"Collective Investment","LU1564329115","BLACKROCK (LUX) SA DYNAMIC HIGH INC A6 USD DIS","Distribution","Month"
"Collective Investment","LU0275062080","INVESCO EMG LOCAL CURR DEBT A DIS $","Distribution","Month"
"Collective Investment","GB00BJK12Q56","ARC TIME SOCIAL LONG INCOME FEEDER TRUST CLASS J NET INCOME UNITS","Distribution","Quarter"
"Collective Investment","LU1303371634","JPMORGAN LIQUIDITY FUNDS  AUD LIQUIDITY C INC","Distribution","Year"
"Collective Investment","KYG8135U1076","SILVERDALE FUND SP1 A1","Distribution","Quarter"
"Collective Investment","LU1023699983","Arabesque SICAV  Arabesque Systematic INC","Distribution","Year"
"Collective Investment","GB00B7FSKP27","FIDELITY FUNDS - MULTI ASSET GROSS INC Y GBP   LIQ      01/02/2018","Distribution","Month"
"Collective Investment","GB00B23YHT07","CT RESPONSIBLE STERLING CORPORATE BOND 1 INC","Distribution","Bi_Annual"
"Collective Investment","IE00BTJRM758","NEW CAPITAL GLOBAL VALUE CREDIT FUND USD I INC","Distribution","Year"
"Collective Investment","LU0947747993","NINETY ONE GLOBAL ST GBL MULTI ASSET INC IX INC","Distribution","Month"
"Collective Investment","LU1846562483","ALLIANZ  FLOATING RATE NOTES PLUS AMG DIS","Distribution","Month"
"Collective Investment","GB00B51NZ076","CAVENDISH AM UK BALANCED INCOME A INC GBP","Distribution","Month"
"Collective Investment","GB00BP851N18","BNY MELLON NEWTON MULTI ASSET INCOME","Distribution","Month"
"Collective Investment","LU1280190494","MFS INVESTMENT MNG MERIDIAN EMERGING MARKETS D","Distribution","Month"
"Collective Investment","GB00B1GKBD09","LIONTRUST EUROPEAN DYNAMIC FUND R INC","Distribution","Year"
"Collective Investment","GB00BJ0LGJ63","HENDERSON INVESTME STRATEGIC BOND E INC","Distribution","Quarter"
"Collective Investment","LU0310600951","DEUTSCHE AST MGMT RENDITE MEDIUM DIS LIQ","Distribution","Year"
"Collective Investment","GB00B990YR84","THREADNEEDLE INV EUROPEAN BOND ZNI INC GBP","Distribution","Bi_Annual"
"Collective Investment","LU0277002928","JANUS HENDERSON HORIZON ASIAN DIVIDEND INCOME I3Q INC","Distribution","Year"
"Collective Investment","GB00B91RFZ23","LIONTRUST INV MGMT GLOBAL INCOME C INC NAV","Distribution","Quarter"
"Collective Investment","IE00B7LZ0Y65","NATIXIS LOOMIS SAYLES MULTISECTOR INC RD SGD","Distribution","Quarter"
"Collective Investment","IE00BDBRBV85","FIRST STATE SUSTAINABLE LISTED INFRASTRUCTURE FUND CLASS VI INC","Distribution","Bi_Annual"
"Collective Investment","IE00BJFL1188","LIONTRUST GBL FD C3 INSTL INC GBP SUSP","Distribution","Bi_Annual"
"Collective Investment","GB00B3FD1Y59","INVESCO-GLOBAL EQUITY INC UK INC","Distribution","Bi_Annual"
"Collective Investment","IE00B532RH31","ORCHARD FUNDS CLASS S DIST CDSC EUR","Distribution","Quarter"
"Collective Investment","GB00B6WD1G18","THREADNEEDLE INV AMERICAN Z INC GBP","Distribution","Year"
"Collective Investment","LU1775982249","INVESCO MANAGEMENT PACIFIC EQUITY C USD AD DIS","Distribution","Year"
"Collective Investment","LU1670711636","M&G LUXEMBOURG S.A GLOBAL DIVIDEND C USD INC","Distribution","Quarter"
"Collective Investment","GB00B87ZL660","LAZARD FUND MGRS UK OMEGA RETL C GBP INC","Distribution","Bi_Annual"
"Collective Investment","LU0858292898","GOLDMAN SACHS US SMALL CAP CORE EQUITY PTF R SNAP DIS","Distribution","Year"
"Collective Investment","GB00BHBX8T19","JUPITER UK SMALLER COMPANIES FUND U1 GBP INC","Distribution","Year"
"Collective Investment","GB00B7LZXD60","FIL INV SVCS UK IV MULTI ASSET OPEN STRATEGIC Y INC","Distribution","Quarter"
"Collective Investment","LU0942194779","JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND H3","Distribution","Month"
"Collective Investment","GB00B5BVQH55","ST JAMES PLACE GILTS UT TRUST INC GBP","Distribution","Quarter"
"Collective Investment","LU1076346227","ASHMORE SICAV EMERGING MARKETS SHORT DURATION RETAIL INC","Distribution","Month"
"Collective Investment","GB00BBT3J657","MAJEDIE ASSET MGT UK EQUITY B INC","Distribution","Bi_Annual"
"Collective Investment","LU0983164343","NINETY ONE GLOBAL ST GBL MULTI AST INC I USD DIS","Distribution","Month"
"Collective Investment","IE00BWX5D626","POLAR CAPITAL FUND EUROPEAN (EX UK) INCOME S G","Distribution","Quarter"
"Collective Investment","GB00B7PWB404","INVESTEC FUND MGRS INVESTEC EMG MKTS BLEN I2","Distribution","Quarter"
"Collective Investment","GB0005135081","LEGAL & GENERAL UT EUROPEAN INDEX TRUST DIST GBP","Distribution","Year"
"Collective Investment","LU0048580004","FIDELITY CSEL GERMANY A DIS NAV EUR","Distribution","Year"
"Collective Investment","LU0035378891","MFS MERIDIAN FD US HI YD BD A2$","Distribution","Month"
"Collective Investment","LU1574459522","GOLDMAN SACHS AMFS EMG MKTS CORP BD PTF BASE","Distribution","Month"
"Collective Investment","LU0065014192","FRANKLIN TEMPLETON FRANKLIN HIGH YLD A DIS","Distribution","Month"
"Collective Investment","LU0619515397","BLACKROCK GBL FDS EURP EQTY INC A4G EUR","Distribution","Year"
"Collective Investment","GB0031107575","PREMIER MITON MULTI-ASSET DISTRIBUTION","Distribution","Quarter"
"Collective Investment","US9219131094","VANGUARD QUANTITAT GTH & INC FD USD","Distribution","Bi_Annual"
"Collective Investment","GB0031288912","M&G Securities Ltd International Sovereign Bond Inc A","Distribution","Bi_Annual"
"Collective Investment","GB0031111361","M&G SECURITIES LTD INDEX-LINKED BOND INC A GBP","Distribution","Bi_Annual"
"Collective Investment","LU1866903898","M&G (LUX) EMERGING MARKETS BOND CI DIST","Distribution","Bi_Annual"
"Collective Investment","LU1866904946","M&G SECURITIES LTD GLOBAL DIVIDEND CI GBP INC","Distribution","Quarter"
"Collective Investment","GB00B8BC1961","THREADNEEDLE INV AMERICAN SELECT ZNI INC","Distribution","Year"
"Collective Investment","GB00B4N20K01","JPMorgan AM UK Ltd Multi Asset Income B Inc","Distribution","Quarter"
"Collective Investment","GB00B592H774","JPM EMERGING MARKETS INCOME FUND B INC","Distribution","Quarter"
"Collective Investment","GB0033947663","INVESCO FM IP PERPETUAL DISTRIBUTION INC GROSS GBP   LIQ","Distribution","Month"
"Collective Investment","LU1738496642","EMIRATES NBD SICAV MENA TOP COMPANIES B INC","Distribution","Quarter"
"Collective Investment","LU0058908533","JPMORGAN AM JF INDIA A DIS USD","Distribution","Year"
"Collective Investment","GB00B06PF580","CT US SMALLER COMPANIES 1 INC","Distribution","Year"
"Collective Investment","LU0229940183","FRANKLIN TEMPLETON ASIAN GROWTH A YDIS GBP","Distribution","Year"
"Collective Investment","LU0479691668","FIDELITY FUND SUSTAINABLE REDUCED CARDON BOND FUND Y MDIST EUR","Distribution","Month"
"Collective Investment","LU1961133557","MORGAN STANLEY INVESTMENT FUNDS EUROPE OPPORTUNITY FUND AR INC","Distribution","Bi_Annual"
"Collective Investment","SG9999010805","UOB ASSET MGT UNITED SGD FUND A SGD DIS","Distribution","Quarter"
"Collective Investment","GB00B142F707","AEGON INV GRD BOND B DIS GBP","Distribution","Quarter"
"Collective Investment","IE00B686VM08","VERITAS FUNDS PLC GLOBAL EQUITY INCOME STERLING D DIS GBP","Distribution","Bi_Annual"
"Collective Investment","GB00B5NS7N79","JP MORGAN AM UK LTD EMG MKTS INC X","Distribution","Quarter"
"Collective Investment","GB00B5N99561","ARTEMIS FD MNGRS GLOBAL INCOME UNITS INSTL INC GBP","Distribution","Bi_Annual"
"Collective Investment","LU1697837992","BGF DYNAMIC HIGH INCOME A6 INC","Distribution","Month"
"Collective Investment","LU0840140445","FIL SUSTAINABLE STRATEGIC BOND Y Q EUR DIS","Distribution","Quarter"
"Collective Investment","GB00B4V7X088","Invesco Perpetual UT Mgmt Ltd Tactical Bond Inc","Distribution","Bi_Annual"
"Collective Investment","IE00B54PSJ04","DODGE & COX WORLDW GLOBAL STOCK INC NAV","Distribution","Quarter"
"Collective Investment","LU0229939250","FRANKLIN TEMP MUTUAL EUROPEAN A DIS GBP","Distribution","Year"
"Collective Investment","GB00B3PXJV84","ROYAL LONDON SUSTAIABLE DIVERSIFIED TRUST A INC","Distribution","Quarter"
"Collective Investment","IE00B5VRNQ18","BARCLAYS GBL ACCESS EMERG MRKT DEBT M GBP DIS HGD","Distribution","Quarter"
"Collective Investment","GB00BDZVKC05","RATHBONE GREENBANK GLOBAL SUSTAINABILITY I INC","Distribution","Bi_Annual"
"Collective Investment","GB00BGB6GZ57","VANGUARD INV UK LT STERLING SHORT TERM MNY MKT","Distribution","Month"
"Collective Investment","LU2298065215","NINETY ONE GLOBAL ENVIROMENT FUND IX ACC","Distribution","Month"
"Collective Investment","GB00BYPHPL95","ABERDEEN STD FD MG UK REAL ESTATE INC FEEDER P","Distribution","Month"
"Collective Investment","GB00BMYBW060","PREMIER MITON DEFENSIVE MULTI ASSET FUND B INC","Distribution","Bi_Annual"
"Collective Investment","LU2004361726","M&G (LUX) OPTIMAL INCOME FUND AH GBP INC","Distribution","Year"
"Collective Investment","GB00B5LK0253","CAPITA FINANCIAL HEARTWOOD CAUT MULTI ASST C","Distribution","Quarter"
"Collective Investment","GB0005803977","BLACKROCK FUND MGRS LTD UK SPECIAL SITUATIONS A INC GBP","Distribution","Bi_Annual"
"Collective Investment","LU0012050562","SCHRODER INTL SEL-JAP.EQ.(A)AV","Distribution","Year"
"Collective Investment","LU0011817854","HSBC INV FD LUX SA HONG KONG EQUITY P DIS","Distribution","Year"
"Collective Investment","GB00B2N9GS70","ABERFORTH UT MGT UK SMALL COMPANIES INC","Distribution","Bi_Annual"
"Collective Investment","GB00B3RJCR18","JPMORGAN AM UK LTD UNCONSTRAINED BOND FUND I INC","Distribution","Quarter"
"Collective Investment","GB0006833601","ABRDN GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A INC","Distribution","Bi_Annual"
"Collective Investment","LU1883993989","FIDELITY LUX GLOBAL MULTI ASSET INCOME A DIS","Distribution","Month"
"Collective Investment","GB00BW9HLL39","ARTEMIS FD MNGRS GLOBAL EQUITY INCOME INSTL","Distribution","Bi_Annual"
"Collective Investment","GB00BW9HLQ83","ARTEMIS FD MNGRS GLOBAL EQUITY INCOME INSTL","Distribution","Bi_Annual"
"Collective Investment","LU0082770016","HSBC GIF ASIA EX JAPAN SML COSA USD","Distribution","Year"
"Collective Investment","LU0251125042","FIDELITY FUNDS LATIN AMERICA GBP LIQ","Distribution","Year"
"Collective Investment","GB00B5717N28","AXA INV MGT US SHORT DUR HIGH YLD GBP","Distribution","Year"
"Collective Investment","GB00B8GBR344","BNY MELLON INSIGHT EQ INC BOOST GBP","Distribution","Month"
"Collective Investment","GB0005804835","BlackRock Fund Mgrs Ltd UK Income A Inc","Distribution","Quarter"
"Collective Investment","LU0045667853","SCHRODER INTL SEL-UK EQ.(A)AV","Distribution","Year"
"Collective Investment","LU0053685615","JPMORGAN AM EMG MKTS EQ A DIS USD","Distribution","Year"
"Collective Investment","LU0053687314","JPMORGAN ASSET MGM LATIN AMERICA EQUITY A DIS USD","Distribution","Year"
