
"INSTRMNT_TYPE","ISIN","SHRT_NAME","REINVESTMENT_OPTION","DIVIDEND_PERIODICITY"
"Collective Investment","LU0204061609","BLACKROCK GBL FDS BGF EMG EUROPE A4 DIS GBP SUSP","Distribution","Year"
"Collective Investment","IE0004868828","BARING  ASEAN FRONTIERS A EUR","Distribution","Year"
"Collective Investment","BMG9727M2485","RUDOLF WOLFF  PRIVILEGE INCOME GBP SHARES","Distribution","Year"
"Collective Investment","LU0995122610","SCHRODER INTL SEL-EUR.OPP.(C)SV","Distribution","Bi_Annual"
"Collective Investment","LU1295552035","CAPITAL GROUP NEW PERSPECTIVE FUND  BD INC","Distribution","Year"
"Collective Investment","IE00BF5KV519","WAVERTON EUROPEAN DIVIDEND GROWTH A INC","Distribution","Bi_Annual"
"Collective Investment","GB00BHNZ2M61","PREMIER MITON DIVERSIFIED CAUTIOUS GROWTH B INC GBP","Distribution","Bi_Annual"
"Collective Investment","LU1882473264","AMUNDI FUNDS EURO GOVERNMENT BOND A2 EUR C","Distribution","Month"
"Collective Investment","GB00BFY6P920","AEGON STRATEGIC BOND FUND GBP S INC","Distribution","Quarter"
"Collective Investment","LU0356473412","JPMORGAN FUNDS - EMG LOC MKT DEBT FUND A INC","Distribution","Month"
"Collective Investment","IE0009580469","MARRIOTT INTL REAL ESTATE DIST USD","Distribution","Bi_Annual"
"Collective Investment","LU1261433467","FIL INV MGMT LUX GLOBAL HYBRIDS BD Y USD INC","Distribution","Year"
"Collective Investment","GB00BJXPPJ80","ART INVT TA RTN SHS I GBP","Distribution","Quarter"
"Collective Investment","IE00BCDBX600","POLAR CAPITAL FUND GBL CONVERTIBLE I GBP DIS","Distribution","Quarter"
"Collective Investment","GB00BWWCYX80","LIONTRUST MA DYNAMIC PASSIVE MODERATE FUND S INC","Distribution","Bi_Annual"
"Collective Investment","GB0004457197","AVIVA INV UK LISTED EQ INCOME INC RET1","Distribution","Bi_Annual"
"Collective Investment","GB00BNDQ7P95","FP EURO LEAD SHS B GBP","Distribution","Bi_Annual"
"Collective Investment","LU0538203018","JPMORGAN ASSET MGM JPM CHINA A HKD DIST","Distribution","Month"
"Collective Investment","GB00BMX64M81","ES RIVER AND MERCANTILE EUROPEAN FUND SHS F GBP","Distribution","Quarter"
"Collective Investment","LU2248080207","PICTET SICAV - PICTET-JAPANESE EQUITY OPPORTUNITIES","Distribution","Year"
"Collective Investment","GB00BG886C19","M&G POSITIVE IMPACT FUND STERLING I GBP INC","Distribution","Quarter"
"Collective Investment","GB00BWK25Y88","ABERDEEN FUND MANA GLOBAL HIGH YIELD BD A I GB","Distribution","Quarter"
"Collective Investment","IE00B19Z4993","FTGF ROYCE US SMALL CAP OPPORTUNITY X INC","Distribution","Year"
"Collective Investment","GB0005662894","MARLBOROUGH EXTRA INCOME GBP","Distribution","Quarter"
"Collective Investment","GB0004777347","JUPITER UT MGRS UK SPECIAL SIT INC","Distribution","Bi_Annual"
"Collective Investment","GB0005086672","THREADNEEDLE PROP PROPERTY CL B","Distribution","Month"
"Collective Investment","GB0005812150","JUPITER UT MGRS ECOLOGY GBP INC","Distribution","Bi_Annual"
"Collective Investment","GB00B05N2G35","LAZARD FM UK OMEGA INC INSTL GBP","Distribution","Bi_Annual"
"Collective Investment","IE00BFZ1FY14","UTI INDIA BALANCED FUND RETAIL INC","Distribution","Quarter"
"Collective Investment","IE00BF59HS37","DVAM GLOBAL EQUITY INCOME GBP B2 INC","Distribution","Bi_Annual"
"Collective Investment","LU1316542866","JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A3Q SGD","Distribution","Quarter"
"Collective Investment","LU0072845869","JPMORGAN ASSET MGM EMG MKTS DEBT HGD A INC DIS","Distribution","Year"
"Collective Investment","GB00BGDF8322","SARASIN INV FDS SARASIN GBL DIV GBP HDG P INC","Distribution","Quarter"
"Collective Investment","LU2145462565","ROBECOSAM SMART ENERGY EQUITIES G INC","Distribution","Year"
"Collective Investment","IE00BKPWG806","DIMENSIONAL GLBL SUSTNBY FXD INCOME INC","Distribution","Bi_Annual"
"Collective Investment","KYG6401N2454","Carlton James Diversified Alpha Fund Segregated Portfolio SUSP","Distribution","Quarter"
"Collective Investment","IE0004851808","BARINGS DEVELOPED AND EMERGING MARKETS HIGH YIELD BOND FUND","Distribution","Quarter"
"Collective Investment","IE0003842543","INVESCO AM IRL LTD KOREAN EQUITY A DIS","Distribution","Year"
"Collective Investment","LU2077746779","BLACKROCK GF SICAV CHINA BOND FUND A6 GBP INC","Distribution","Month"
"Collective Investment","GB00BPFJCN32","ISHARES GLOBAL PROPERTY SECURITIES EQUITY INDEX FUND H INC","Distribution","Bi_Annual"
"Collective Investment","GB00BN7ZF032","PREMIER MITON LIBERATION NO VI (SHARE CLASS B)","Distribution","Bi_Annual"
"Collective Investment","LU1003077408","BLACKROCK GLOBAL MULTI ASSET INCOME FUND D6 INC","Distribution","Month"
"Collective Investment","CH0011292411","PICTET SHORT TERM MEMORY P DY INC","Distribution","Year"
"Collective Investment","LU0794789627","INVESCO MANAGEMENT US EQUITY A USD INC","Distribution","Year"
"Collective Investment","GB00BD1NLJ41","FIDELITY INV SVCS UK GBL ENH INCOME W INC NAV","Distribution","Quarter"
"Collective Investment","GB0009069716","LLOYDS TSB O/S FM O/S GILT FD LTD A CL SHS","Distribution","Quarter"
"Collective Investment","LU2184872203","FIDELITY FUNDS GLOBAL SHORT DURATION W INC","Distribution","Quarter"
"Collective Investment","GB00BYQJXH64","FUND PARTNERS LTD CRUX EUROPEAN I INC","Distribution","Quarter"
"Collective Investment","IE00BZ199K37","BNY MELLON MOBILITY INNOVATION FUND A INC","Distribution","Year"
"Collective Investment","LU0820562030","ALLIANZ INCOME AND GROWTH AM H2 AUD","Distribution","Month"
"Collective Investment","LU0706718326","ALLIANZ GLOBAL INV  FLEXI ASIA BOND AM (H2-GBP)","Distribution","Month"
"Collective Investment","IE00BFNXS069","LORD ABBETT PASSPO TOTAL RETURN A USD INC","Distribution","Month"
"Collective Investment","IE00B8240T43","PIMCO GIS DIVERS INC DUR H INS GBP H INC","Distribution","Quarter"
"Collective Investment","GB00BD5Z1070","BAILLIE GIFFORD LONG TERM GLOBAL GROWTH INVESTMENT B INC","Distribution","Year"
"Collective Investment","DE0008490145","DWS INVEST GMBH AKTIEN SCHWEIZ DIS","Distribution","Year"
"Collective Investment","IE00B77H9381","LAZARD GLOBAL ACTI EMG MKTS EQTY A EUR DIS","Distribution","Bi_Annual"
"Collective Investment","LU1774149642","AXA WORLD FUNDS SICAV ASIAN SHORT DURATION BONDS A INC","Distribution","Month"
"Collective Investment","GB00BMWB3W78","LIONTRUST SPECIAL SITUATIONS B INC","Distribution","Year"
"Collective Investment","LU0776329210","JPM EMERGING MARKETS OPPORTUNITIES C (DIST) GBP","Distribution","Year"
"Collective Investment","GB00B7QFPL36","ROYAL LONDON UTM UK GOVERNMENT BOND M INC","Distribution","Bi_Annual"
"Collective Investment","GB00BD050B66","ROYAL LONDON AM SHORT DURTION CRED Z INC","Distribution","Bi_Annual"
"Collective Investment","IE00BFMC6555","FIRST SENTIER GLOBAL LISTED INFRASTRUCTURE VI HGD P INC","Distribution","Bi_Annual"
"Collective Investment","GB00BGHQ0R95","SMITH & WILLIAMSON SALTUS GLOBAL EQUITY Q INC","Distribution","Year"
"Collective Investment","SGXZ52285178","SILVERDALE BOND FUND K INC","Distribution","Year"
"Collective Investment","LU0255639139","NORDEA INVESTMENT STABLE RTN AP EUR DIS NAV","Distribution","Year"
"Collective Investment","LU2355555496","BNP PARIBAS MULTI-ASSET THEMATIC MD INC","Distribution","Month"
"Collective Investment","LU1259265251","EASTSPRING ASIAN BOND ASDM HDG INC","Distribution","Month"
"Collective Investment","GB00BDDY6H83","BAILLIE GIFFORD SUSTAINABLE GROWTH B INC","Distribution","Bi_Annual"
"Collective Investment","LU0756522248","EASTSPRING INVEST ASIAN HY BD ASDM SGD","Distribution","Month"
"Collective Investment","IE00B528QZ36","ORCHARD FUND G DISTRIBUTING EUR","Distribution","Quarter"
"Collective Investment","LU1622746433","FIL INV MGMT LUX GBL MULTI ASSET INC Y M INC","Distribution","Month"
"Collective Investment","LU1093756598","FRANKLIN TEMPLETON K2 ALTERNATIVE STRATEGIES A Y USD DIS","Distribution","Year"
"Collective Investment","LU0538203521","JPMORGAN ASSET MGM HONG KONG A HKD INC NAV","Distribution","Year"
"Collective Investment","GG00BQSBW997","MARLBOROUGH BOND INCOME CELL A INC","Distribution","Bi_Annual"
"Collective Investment","IE00BYWVKP37","FTGF GBL FD MARTIN CURRIE GBL RESOURCES A GBP DIS","Distribution","Year"
"Collective Investment","LU0190651033","PIONEER ASSET MGMT GLOBAL HIGH YIELD A USD DIS","Distribution","Month"
"Collective Investment","LU0119092640","JPMORGAN EUROPE STRAT VAL A DIST","Distribution","Year"
"Collective Investment","GB00BHZ0CZ21","IFSL SANLAM BALANCED FUND SHS A GBP","Distribution","Bi_Annual"
"Collective Investment","LU2015340628","JUPITER UT MNGRS DYNAMIC BD L M INC IRD HSC","Distribution","Month"
"Collective Investment","LU1525638091","DWS INVESTMENT ASIAN BONDS LDM INC","Distribution","Month"
"Collective Investment","IE00BDZ7SF78","BNY MELLON GLB FDS U.S. HIGH YIELD BETA A USD","Distribution","Quarter"
"Collective Investment","GB0005207351","LLOYDS TSB O/S FM LLOYDS TR GILT GBP","Distribution","Quarter"
"Collective Investment","IE0003600388","INVESCO AM IRL LTD PACIFIC EQUITY A DIS USD","Distribution","Year"
"Collective Investment","GB00BYT2QW81","ALLIANZ GBL INV UK STRATEGIC BOND I INC","Distribution","Bi_Annual"
"Collective Investment","LU0877287812","ASHMORE LUX EMG MKTS LOC CURR BD Z DIS","Distribution","Month"
"Collective Investment","IE00BYQG5481","LORD ABBETT SHORT DURATION INCOME FUND CLASS A GBP INC","Distribution","Month"
"Collective Investment","GB00BZ82ZZ20","VANGUARD INV UK LT GLOBAL BALANCED GBP DIS","Distribution","Year"
"Collective Investment","GB00B8BLLB55","UBS EMG MKTS EQTY INC C PEN INC GBP","Distribution","Bi_Annual"
"Collective Investment","IE00BF5KV170","WAVERTON INV MAN REAL ASSETS P GBP DIS","Distribution","Quarter"
"Collective Investment","GB00BJ0LFS89","JANUS HENDERSON GLOBAL SUSTAINABLE EQUITY E INC GBP","Distribution","Year"
"Collective Investment","LU0980585326","NATIXIS INTERNATIONAL FUNDS (LUX) I - LOOMIS SAYLES SHORT TERM EMG MKTS BD FD","Distribution","Quarter"
"Collective Investment","GB00B3PXJX09","ROYAL LONDON SUSTAINABLE WORLD TRUST A INC","Distribution","Bi_Annual"
"Collective Investment","GB00B9LVL566","TIME INVESTMENTS FREEHOLD AUTHORISED D INC","Distribution","Bi_Annual"
"Collective Investment","LU0727847666","JPMORGAN ASSET MGM GLOBAL HIGH YIELD BOND A (M","Distribution","Month"
"Collective Investment","GB00B73WY769","BNY MELLON FD MNGR NEWTON ASIAN INC INSTL INC","Distribution","Quarter"
"Collective Investment","LU1892829661","FIDELITY SUSTAINABLE WATER AND WASTE W INC","Distribution","Year"
"Collective Investment","GB0006156755","STANDARD LIFE O/S STRAT UK EQ GBP","Distribution","Bi_Annual"
"Collective Investment","IE00B7KXQ091","JANUS HENDERSON JH BALANCED A5 DIS","Distribution","Month"
"Collective Investment","GB00BMGRVM73","THREADNEEDLE MANAGED BOND FOCUSED FUND INC","Distribution","Year"
"Collective Investment","IE00BJQTJ400","NEW CAPITAL SWISS SELECT EQUITY FUND CHG INST INC","Distribution","Bi_Annual"
"Collective Investment","LU0997683551","JPMORGAN GLOBAL INCOME C DIS HDG","Distribution","Month"
"Collective Investment","LU2014481829","ALLIANZ GLOBAL OPPORTUNISTIC BOND  AMG H2 INC","Distribution","Month"
"Collective Investment","LU1852331039","BLACKROCK GLOBAL FUNDS SICAV - CHINA BOND FUND A6 AUD","Distribution","Month"
"Collective Investment","IE0003702192","INVESCO AM IRL BOND FUND A USD","Distribution","Bi_Annual"
"Collective Investment","IE00BDFF4S60","POLAR CAPITAL FUND ASIAN OPPORTUNITIES I INC","Distribution","Year"
"Collective Investment","IE00BYTYX230","ROYAL LONDON ASSET GLOBAL BOND OPP Z INC","Distribution","Quarter"
"Collective Investment","IE00B8GF2Y22","PIMCO GBL INVR GBL INV GR CDT R","Distribution","Quarter"
"Collective Investment","IE00BFNWZ801","LORD ABBETT GBL MULTI SECTOR BD A USD INC","Distribution","Month"
"Collective Investment","IE00B984LY70","NEUBERGER BER INV EMERGING MKT CORP DEBT SGD CLASS A","Distribution","Month"
"Collective Investment","LU0168601234","F&C PORTFOLIOS FDF&C EMERGING MARKETS BD A DIS USD LIQ","Distribution","Year"
"Collective Investment","LU1514167136","SCHRODER INTERNATIONAL SELECTION GLOBAL CREDIT A INC","Distribution","Month"
"Collective Investment","LU2004361213","M&G LUXEMBOURG S.A GLOBAL MACRO BD CI GBP INC","Distribution","Quarter"
"Collective Investment","IE00B15WFQ82","BNY MELLON GLOBAL BOND C INC GBP","Distribution","Bi_Annual"
"Collective Investment","LU0254982241","HSBC GIF BRIC MKTS EQ A DIS USD","Distribution","Year"
"Collective Investment","LU0260869499","FRANKLIN TEMPLETON EMERGING MKT BOND I DIS","Distribution","Quarter"
"Collective Investment","LU0820561909","ALLIANZ GLOBAL INV  INCOME AND GROWTH AM HKD IN","Distribution","Month"
"Collective Investment","GB00B93MKD82","THREADNEEDLE INV DYNAMIC REAL RTN Z GBP DIS","Distribution","Bi_Annual"
"Collective Investment","LU1056557546","GOLDMAN SACHS FD S EURP HIGH YLD BD PFOLIO I INC","Distribution","Year"
"Collective Investment","IE00BYXVXY22","PIMCO GLOBAL BOND ESG INSTITUTIONAL DIS HEDGED","Distribution","Quarter"
"Collective Investment","LU0794790559","INVESCO MANAGEMENT EMERGING LOCAL CURR DEBT A","Distribution","Year"
"Collective Investment","IE00BLRPQR39","NEW CAPITAL GLOBAL EQUITY INCOME O","Distribution","Quarter"
"Collective Investment","IE00BFNWYP00","LORD ABBETT PASSPO HIGH YIELD A USD INC","Distribution","Month"
"Collective Investment","IE0003600503","INVESCO AM IRL LTD PACIFIC EQUITY C INC USD","Distribution","Year"
"Collective Investment","GB00B80W1F31","PREMIER PORTFOLIO MULTI ASSET DIST B DIS","Distribution","Quarter"
"Collective Investment","GB00BYPHPJ73","ABERDEEN STD FD MG UK REAL ESTATE INC FEEDER R","Distribution","Month"
"Collective Investment","LU1371569549","FIL  ASIAN BOND A HMDIST HGD G AUD DIS","Distribution","Month"
"Collective Investment","LU1318336440","AVIVA INVESTORS MULTI-STRATEGY TARGET RETURN RAH INC","Distribution","Year"
"Collective Investment","GB00BJ04FB01","INVESCO FD MNGRS PERPETUAL CORP BOND GROSS Y   LIQ","Distribution","Bi_Annual"
"Collective Investment","LU2039997395","NINETY ONE GLOBAL STRATEGY SICAV ALL CHINA EQUITY FUND JX INC","Distribution","Year"
"Collective Investment","GB00BZ0RRV56","LEGAL & GENERAL UT L&G MULTI-INDEX INCOME 5 I","Distribution","Month"
"Collective Investment","LU1529944198","BLACKROCK (LUX) SA GBL EMG MKTS EQTY INC A6 GB","Distribution","Month"
"Collective Investment","GB00B0CNHH27","LEGAL&GENERAL HIGH YIELD BOND I INC","Distribution","Year"
"Collective Investment","GB00BDDRNB05","AXA ACT CARBON TRANSITION STERLING BUY AND MAINTAIN CREDIT (GROSS) INC -U3","Distribution","Quarter"
"Collective Investment","LU0906524946","AMUNDI FUNDS BOND GLOBAL AGGREGATE - RHG D","Distribution","Year"
"Collective Investment","IE00B5W70B41","BARING INVESTMENTS ASIA DEBT A HKD INC","Distribution","Month"
"Collective Investment","GB00B7XF7Y37","INSIGHT EQUITY INC BOOSTER FUND GBP","Distribution","Month"
"Collective Investment","IE0030382240","INVESCO AM IRL LTD CONTL EUROPEAN EQUITY C EUR","Distribution","Year"
"Collective Investment","LU1022646571","NINETY ONE GLOBAL FRANCHISE A INC - 2 HDG","Distribution","Month"
"Collective Investment","IE00B8H3SB42","SARASIN IE MULTI ASSET TARGET RETURN- I INC","Distribution","Bi_Annual"
"Collective Investment","IE00B0PVDH59","BROWN ADVISORY US SMALLER COMPANIES B INC","Distribution","Year"
"Collective Investment","LU1198459122","JPMORGAN ASSET MGM GLOBAL INCOME A GBP HGD DIS","Distribution","Year"
"Collective Investment","GB00B83T7Q40","JPMORGAN AM UK LTD EURP SMALLER COS NET C INC","Distribution","Year"
"Collective Investment","GB00B05KY469","TROJAN INSTL INC GBP","Distribution","Bi_Annual"
"Collective Investment","LU0974148669","JPMORGAN ASSET MGM AGGRG BOND HEDGED I INC NAV","Distribution","Year"
"Collective Investment","GB00B0CNH270","LEGAL & GENERAL UT GLOBAL HEALTH & PHARMACEUTICAL IDX TST I DIST GBP","Distribution","Year"
"Collective Investment","GB00B0LJ0160","IFSL WISE MULTI ASSET INCOME B INC","Distribution","Quarter"
"Collective Investment","LU0224433721","AXA US SHT DUR HIGH YIELD A ACC USD","Distribution","Bi_Annual"
"Collective Investment","GB00BKQV1L44","INVESCO GLOBAL INCOME FUND UK Z INC","Distribution","Month"
"Collective Investment","IE0004852103","BARING EASTERN EUROPE FUND CLASS A EUR INC","Distribution","Year"
"Collective Investment","GB00BD8RSM14","ROYAL LONDON UTM GMAP GROWTH FUND M INC","Distribution","Bi_Annual"
"Collective Investment","GB00B0LD3Y28","STANDARD LIFE SELECT PROPERTY INSTIT INC GBP","Distribution","Quarter"
"Collective Investment","LU1373034260","BLACKROCK (LUX) SA GLOBAL MULTI ASSET INCOME A","Distribution","Year"
"Collective Investment","GB00BD8RSP45","ROYAL LONDON UTM GMAP BALANCED FUND M INC","Distribution","Bi_Annual"
"Collective Investment","GB00B9MRLD12","OLD MUT INV MGMT OLD MUTUAL UK ALPHA R INC GBP","Distribution","Bi_Annual"
"Collective Investment","GB00B7TBTT43","Quilter Investors Investment Grade Corporate Bond A Inc","Distribution","Bi_Annual"
"Collective Investment","GB00B1294H67","BNY MELLON NEWTON GLOBAL DYNAMIC BOND INST INC","Distribution","Month"
"Collective Investment","LU0397083535","JPMORGAN ASSET MGM GBL CONV EUR HGD C INC NAV","Distribution","Year"
"Collective Investment","IE000KARM2D9","PIMCO  ASIA STRATEGIC INTEREST BOND FUND INSTITUTIONAL  INC","Distribution","Year"
"Collective Investment","KYG8135U2306","SILVERDALE FUND SP1 1D","Distribution","Quarter"
"Collective Investment","LU0511406216","ALLIANCEBERNSTEIN AMERICAN INCOME","Distribution","Month"
"Collective Investment","LU0267985660","INVESCO AM IRL LTD UK INV GRADE BOND A GBP DIS","Distribution","Quarter"
"Collective Investment","GB00B0BSLC14","BAILLIE GIFFORD ACTV IDX LKD GLT PLS B INC   LIQ","Distribution","Quarter"
"Collective Investment","GB00B95J5C19","J O HAMBRO CAP UK OPPORTUNITIES Y INC NAV","Distribution","Year"
"Collective Investment","GB00B1XG7B19","JUPITER UK MID CAP FUND L GBP INC","Distribution","Year"
"Collective Investment","GB00BG211548","VALU-TRAC INVESTME CANTAB BALANCED C INC","Distribution","Bi_Annual"
"Collective Investment","HK0000012507","HSBC ASS MGT (HK) ASIAN BD CL A USD","Distribution","Month"
"Collective Investment","IE00B78P9752","OPENWORLD PLC GLOBAL LISTED INFRASTRUCTURE I INC GBP","Distribution","Quarter"
"Collective Investment","IE00B241FG38","FTGF GBL FDS CLELEGGMASON GBL CLEARBRIDGE US AGGSV GTH PREM A GBP INC ARBRIDGE US AGGSV GTH PREM A INC GBP","Distribution","Year"
"Collective Investment","LU0345764244","NINETY-ONE INV GRADE CORP BD A INC","Distribution","Quarter"
"Collective Investment","GB00BRKFJN97","MARLBOROUGH FD MGR IFSL TILNEY BESTINV MAX GTH","Distribution","Bi_Annual"
"Collective Investment","LU0050427557","FIDELITY FUNDS   LATIN AMERICA A USD DIS NAV","Distribution","Year"
"Collective Investment","GB00B9688177","WAY FUND MANAGERS ELITE INCOME TRUST C INC NAV GBP","Distribution","Quarter"
"Collective Investment","IE00BFG1TL54","ISHARES DEVELOPED WORLD ESG SCREENED INDEX FUND INC","Distribution","Quarter"
"Collective Investment","GB00BPFJDB84","BLACKROCK ADVS(UK) UK EQUITY TRACKER H ACC","Distribution","Bi_Annual"
"Collective Investment","GB00BYW6BV14","LEGAL & GENERAL MIXED INVESTMENT INCOME 0-35% D INC","Distribution","Month"
"Collective Investment","LU0846948783","NINETY ONE GLOBAL STRATEGY FUND GLOBAL STRATEGIC EQUITY FUND IX INC","Distribution","Year"
"Collective Investment","GB0031425126","AEGON HIGH YIELD BOND A INC GBP","Distribution","Month"
"Collective Investment","IE00B95B5D80","JANUS CAPITAL GBL REAL ESTATE U INC","Distribution","Quarter"
"Collective Investment","LU0451400831","AXA FUNDS MGMT SA GLB INFLATION BONDS A","Distribution","Year"
"Collective Investment","GB00B4RB3Z95","CT(UK)II RESPONSIBLE STERLING CORPORATE BOND C INC","Distribution","Bi_Annual"
"Collective Investment","AU60ETL03315","HENDERSON GLOBAL NATURAL RESOURCES FUND","Distribution","Year"
"Collective Investment","GB00BK35F176","LEGAL & GENERAL UT UK PROPERTY FEEDER R INC GBP","Distribution","Quarter"
"Collective Investment","SG9999007918","PHILLIP SINGAPORE REAL ESTATE INCOME FUND A INC","Distribution","Quarter"
"Collective Investment","LU1280187359","MFS INVESTMENT MNG GLOB EQ INC W3 INC","Distribution","Quarter"
"Collective Investment","GB00B03TPM05","HENDERSON GBL INV INDEX LINKED BOND A GROSS INC GBP","Distribution","Quarter"
"Collective Investment","IE00B3RXCM80","BARCLAYS GBLACCESS GBL SHT DUR BD GBP","Distribution","Quarter"
"Collective Investment","LU0936579340","FIL INV MGMT LUX GLOBAL TECHNOLOGY Y EUR INC","Distribution","Year"
"Collective Investment","LU1273508090","FIL INV MGMT LUX US HIGH YIELD Y SGD MDIST","Distribution","Month"
"Collective Investment","LU1573296008","ALLIANZ FLTNG RATE NTS PLS VARIOZINS A H2 USD EU","Distribution","Year"
"Collective Investment","LU0946222550","JUPITER GBL FUND GLOBAL CONVERTIBLES D INC","Distribution","Year"
"Collective Investment","IE00B0V9T862","PIMCO GIS GBL HI YLD BD INST INCGBP","Distribution","Quarter"
"Collective Investment","LU0808560329","WH2","Distribution","Month"
"Collective Investment","GB00BK6MBX95","M&G SECURITIES GLOBAL CORPORATE BOND A","Distribution","Bi_Annual"
"Collective Investment","GB00BZCN8C92","FUND PARTNERS LTD MATTIOLI WOODS CAUTIOUS B G","Distribution","Bi_Annual"
"Collective Investment","GB0006664683","JUPITER UT EUROPEAN INC GBP","Distribution","Year"
"Collective Investment","GB00BYZVB809","AXA FUND MANAGERS STERLING STRATEGIC BOND Z I","Distribution","Month"
"Collective Investment","LU0516397667","ALLIANZ US HIGH YIELD A M USD","Distribution","Month"
"Collective Investment","IE00B4VFKM36","CULLEN N.AMERICAN HIGH DIV VAL EQUITY CLASS II INS DIS","Distribution","Quarter"
"Collective Investment","LU0827875260","BLACKROCK ASIAN DRAGON D4 INC GBP","Distribution","Year"
"Collective Investment","GB0033302760","Schroder Unit Trusts Ltd European Alpha Plus Inc","Distribution","Year"
"Collective Investment","GB00BNGFN669","WS GUINNESS GLOBAL EQUITY INCOME Y INC","Distribution","Year"
"Collective Investment","GB0032346800","FIDELITY INV SERV UK LTD MONEYBUILDER INCOME A GROSS   LIQ      29/01/2018","Distribution","Month"
"Collective Investment","LU1111085442","BLACKROCK (LUX) SA HIGH YIELD BOND I4 GB","Distribution","Year"
"Collective Investment","GB00B1W0M427","BNY MELLON NEWTON INTL BD INSTL GBP","Distribution","Bi_Annual"
"Collective Investment","LU0029876355","Franklin Templeton Emerging Markets Bond A Qdis","Distribution","Quarter"
"Collective Investment","LU0197229882","FIDELITY FUNDS   INDIA FOCUS A USD DIS","Distribution","Year"
"Collective Investment","LU0208291251","Franklin Templeton Mutual Beacon A","Distribution","Year"
"Collective Investment","GB00B054QL91","SVS BROOKS MACDONALD BLUEPRINT DEFENSIVE INCOME A INC","Distribution","Quarter"
"Collective Investment","LU0626067895","JPMORGAN ASSET MGM GLOBAL MERGER ARBITRAGE HEDGED C INC NAV","Distribution","Year"
"Collective Investment","IE00B0689L12","SEI GLOBAL MASTER US LARGE COS WEALTH A INC","Distribution","Quarter"
"Collective Investment","LU0267984937","INVESCO AM IRL LTD GBL STRUCTURED EQ A DIS","Distribution","Year"
"Collective Investment","GB00B1C42886","ASI DIVERSIFIED INCOME  I DIS","Distribution","Month"
"Collective Investment","IE00BYSXQZ58","GAM STAR FUND CAUTIOUS CQ INCOME II","Distribution","Quarter"
"Collective Investment","LU0949332265","FIDELITY INVESTMENT MANAGEMENT(LUX)SA AMERICAN GROWTH Y INC NAV USD","Distribution","Year"
"Collective Investment","GB00BF2H6F06","BARING EUROPE SELECT TRUST-CLASS I EUR INC","Distribution","Bi_Annual"
"Collective Investment","GB00B0118B85","GLG PARTNERS INV GLOBAL CORP BOND PROFESSIONAL D DIS GBP","Distribution","Quarter"
"Collective Investment","IE00B6520G84","INVESCO AM IRL STERL BOND C INC GBP","Distribution","Quarter"
"Collective Investment","LU0822049549","JPMORGAN US TECHNOLOGY C DIST","Distribution","Year"
"Collective Investment","LU0534241806","BlackRock Continental Europe Flexible","Distribution","Year"
"Collective Investment","GB00BP8YY396","ABRDN UK REAL ESTATE ACCUMULATION FEEDER INSTL INC","Distribution","Month"
"Collective Investment","IE00BVYPP248","GUINNESS AM GLOBAL EQUITY INCOME Y","Distribution","Year"
"Collective Investment","LU0129465034","JPMORGAN ASSET MGM JAP EQ J DIS USD","Distribution","Year"
"Collective Investment","GB00BRWQCH53","NINETY-ONE FUND MGRS UK EQUITY INCOME I GBP INC","Distribution","Bi_Annual"
"Collective Investment","GB00B83H6G14","NEPTUNE INV MGMT BALANCED C INC","Distribution","Bi_Annual"
"Collective Investment","IE0002294639","COUTTS FM UK SOV BOND INDEX PROG S1","Distribution","Bi_Annual"
"Collective Investment","GB0031536880","SCHRODER MM UK GROWTH A INCOME FD","Distribution","Bi_Annual"
"Collective Investment","LU0247987802","JP MORGAN STRATEGIC DIV A EUR","Distribution","Year"
"Collective Investment","LU0119094695","JPMORGAN AM JAPAN EQUITY A DIS GBP","Distribution","Year"
"Collective Investment","GB00B3YSP833","BNY MELLON NEWTON MGD INC RETL GBP","Distribution","Month"
"Collective Investment","LU0823430326","BNP PAR PARVEST EQTY INDONESIA USD","Distribution","Year"
"Collective Investment","LU1303372871","JPM USD LIQUIDITY LVNAV C INC","Distribution","Month"
"Collective Investment","IE00B8GG9882","SARASIN FUNDS MGMT IE GLOBALSAR INCOME P INC","Distribution","Quarter"
"Collective Investment","GB00B8N45G53","INVESCO-GLOBAL BOND UK(Z)INC","Distribution","Bi_Annual"
"Collective Investment","IE00BJ3VGK40","MAN FUNDS PLC MAN JAPAN COREALPHA EQTY I","Distribution","Year"
"Collective Investment","IE00BDZRKD96","NEUBERGER BER INV GBL BD ABST RTN I3 INC NAV","Distribution","Quarter"
"Collective Investment","GB00BF4JM120","NINETY ONE GLOBAL TOTAL RETURN CREDIT FUND A GBP INC","Distribution","Month"
"Collective Investment","IE00BTL1HB44","NOMURA FUNDS IRE GLOBAL DYNAMIC BOND ID INC","Distribution","Quarter"
"Collective Investment","IE00BYYPFK35","AEGON GLOBAL DIVERSIFIED INCOME FUND CLS B GBP HGD INC","Distribution","Month"
"Collective Investment","IE0032606182","F AND C FM GBL EMG MKTS A DIS GBP","Distribution","Year"
"Collective Investment","GB00B7VS0V26","BNY MELLON FD MNGR NEWTON GLOBAL DYNAMIC BD EXEMPT GROSS 2 INC GBP","Distribution","Month"
"Collective Investment","LU0229938369","Franklin Templeton US Opportunities A YDIS GBP","Distribution","Month"
